Accession,library_strategy,library_source,library_selection,library_layout,platform,model,tax_id,reads
GSE119826,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,31873862
GSE119827,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,57427232.666666664
GSE119828,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,12429263.023809524
GSE119832,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 4000,9606,46216112.125
GSE119834,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,46887590.27551021
GSE119835,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,30300782.2
GSE119836,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina novaseq 6000,10090,25362746.5
GSE119840,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,79327,10403354.333333334
GSE119841,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,9606,11346545.916666666
GSE119844,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,10090,52873505.833333336
GSE119850,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,66278080.164948456
GSE119851,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,62692681.4
GSE119852,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,25713954.6875
GSE119853,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,59167032.25
GSE119854,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,69618410.70588236
GSE119855,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,30846357.74
GSE119856,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,30846357.74
GSE119864,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 3000,9606,24545116
GSE119866,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,35216341.666666664
GSE119870,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,22678838.888888888
GSE119871,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,90988,33646863.833333336
GSE119873,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,22542518.333333332
GSE119882,OTHER,TRANSCRIPTOMIC,other,SINGLE,illumina,illumina nextseq 500,10090,141405340.75
GSE119883,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,13140277.714285715
GSE119884,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,10090,9347050.914285714
GSE119893,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,16491112.151898734
GSE119900,NA,NA,NA,NA,NA,NA,NA,NA
GSE119902,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,8090,251
GSE119903,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,8090,45185642.5
GSE119908,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,60711,57280926.333333336
GSE119909,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,9606,15428559.6
GSE119910,RIP-Seq,TRANSCRIPTOMIC,other,PAIRED,illumina,illumina nextseq 500,9606,59377642.277777776
GSE119915,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,3702,21401384
GSE119916,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,36743385.11111111
GSE119918,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,9606,65422869.13333333
GSE119919,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,9606,65422869.13333333
GSE119926,NA,NA,NA,NA,NA,NA,NA,NA
GSE119931,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,33729288.88888889
GSE119934,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,76340,84424151.625
GSE119936,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,2575206.75
GSE119937,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,67697106.95
GSE119938,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,9606,19123908.25
GSE119940,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,10090,219844739.5
GSE119942,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,10090,36218223.26470588
GSE119945,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina novaseq 6000,10090,16159267.04
GSE119946,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,27840220
GSE119953,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,27838434.425
GSE119954,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,36536349.5
GSE119957,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,4606,33088898
GSE119960,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,56119670.5
GSE119962,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,58461586.25
GSE119964,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,24128620.391304348
GSE119969,NA,NA,NA,NA,NA,NA,NA,NA
GSE119970,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,30684873.666666668
GSE119973,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,20041710.055555556
GSE119974,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,8061416.416666667
GSE119976,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,1195597,18002956
GSE119982,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,3983129
GSE119983,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,3648589.0877192984
GSE119986,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,3702,27071390.529411763
GSE119988,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,87663.29
GSE119993,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,6239,19313259.444444444
GSE119998,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,46921319
GSE120000,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,207917994
GSE120001,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,10090,54259447.625
GSE120002,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,10116,15419271.5
GSE120003,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,3702,15547874
GSE120004,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,9606,24366775.666666668
GSE120006,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,9606,24366775.666666668
GSE120012,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,20853168.57142857
GSE120015,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,69157628.22222222
GSE120021,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina novaseq 6000,9606,39080434.875
GSE120028,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,9606,5358992.894736842
GSE120031,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9823,26331402.833333332
GSE120032,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,562,5442685.5
GSE120035,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,7719,76963339
GSE120036,Bisulfite-Seq,GENOMIC,Reduced Representation,PAIRED,illumina,illumina hiseq 4000,10090,57101985.25
GSE120038,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 3000,10090,36125105.4
GSE120041,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,12943205.966666667
GSE120042,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,12943205.966666667
GSE120044,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina genome analyzer iix,10090,34586846.666666664
GSE120050,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,1423,32592896
GSE120053,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,29879,22976788.458333332
GSE120057,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,47473472.625
GSE120067,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,174765978.5
GSE120070,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,9606,22601593
GSE120071,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,9606,64441358.166666664
GSE120073,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,26066586.1875
GSE120077,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,7227,14689200
GSE120079,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,bgiseq,bgiseq-500,9606,110732679.5
GSE120080,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,52586870.333333336
GSE120081,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,24276629.75
GSE120084,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,32848981.94736842
GSE120086,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,32816724.583333332
GSE120094,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,5480,11117868
GSE120095,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina novaseq 6000,9606,28674810.666666668
GSE120096,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina novaseq 6000,9606,34620881.64285714
GSE120098,RIP-Seq,TRANSCRIPTOMIC,other,SINGLE,illumina,illumina hiseq 2500,10090,27360879
GSE120099,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,26724644.18478261
GSE120100,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 4000,7227,16444108.552083334
GSE120102,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,9606,8806802.67
GSE120105,OTHER,TRANSCRIPTOMIC,other,SINGLE,illumina,illumina hiseq 2500,9606,24771269.57894737
GSE120106,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina genome analyzer iix,9606,7876845.25
GSE120107,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,22214945.583333332
GSE120108,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,653831469
GSE120115,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,25673448.89473684
GSE120128,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,19952393.5
GSE120135,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,4577,25868876.375
GSE120144,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,9925,55115394
GSE120145,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,9606,7220119.625
GSE120146,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,5514787.075
GSE120158,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 4000,9606,21824655.666666668
GSE120163,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 4000,10090,53994482.166666664
GSE120170,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,7955,29217312.666666668
GSE120173,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 1500,10090,17827587.833333332
GSE120176,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,bgiseq,bgiseq-500,9606,23737948.625
GSE120178,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,37767011.16
GSE120179,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina genome analyzer iix,10090,45175085.5
GSE120183,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,9606,46003054.15384615
GSE120188,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,4932,8898203.5
GSE120189,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,272563,11796333.416666666
GSE120190,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,38546716
GSE120192,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,13003558
GSE120195,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,10116,30071855.67777778
GSE120197,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,30025777.777777776
GSE120198,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,1496,16243109.25
GSE120199,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,33006208.75
GSE120200,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,11890092.4
GSE120202,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,9606,30146596.75
GSE120203,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,9606,31146654
GSE120208,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 550,10090,23427672.38095238
GSE120216,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,21852096.333333332
GSE120221,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 3000,9606,355051703.04
GSE120222,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,9606,44973966.25
GSE120224,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,bgiseq,bgiseq-500,10090,23878166.90625
GSE120226,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,9606,20850103.153846152
GSE120233,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,9606,20884287
GSE120236,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,7955,53254887.44444445
GSE120239,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,63145558.21428572
GSE120240,NA,NA,NA,NA,NA,NA,NA,NA
GSE120241,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,10090,12940509.7
GSE120244,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,4000000
GSE120246,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,9606,60421387.5
GSE120247,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,10090,26011362.07142857
GSE120253,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,7955,4402888.416666667
GSE120257,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,10090,42720715.0625
GSE120261,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,1122877.57
GSE120263,NA,NA,NA,NA,NA,NA,NA,NA
GSE120268,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,51887500.5
GSE120269,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,22251002.625
GSE120274,RNA-Seq,TRANSCRIPTOMIC,PCR,SINGLE,bgiseq,bgiseq-500,10090,24072716.666666668
GSE120275,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,7955,21117226.805555556
GSE120276,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,10090,21022120.833333332
GSE120278,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,10090,22927864.75
GSE120279,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,10090,22292616.777777776
GSE120280,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,34040546.75
GSE120285,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,829773.65
GSE120287,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,32219288.666666668
GSE120293,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,25284361
GSE120297,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,9606,56116362.75
GSE120298,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,27353586.5
GSE120299,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,49352502.833333336
GSE120303,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,11576849.42857143
GSE120305,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,7227,8346795.714285715
GSE120309,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,51132163.375
GSE120310,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,48280961.833333336
GSE120328,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,9606,30258857.9
GSE120332,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,49328831
GSE120333,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina novaseq 6000,10090,92657150.875
GSE120335,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,6239,22296506.4
GSE120336,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,33719623.75
GSE120337,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,9606,48083064.833333336
GSE120346,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina miseq,470,5436976.666666667
GSE120349,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,bgiseq,bgiseq-500,10090,105290234
GSE120355,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,9606,16482799
GSE120358,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,2065263,68204922
GSE120360,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,3708,15930362.454545455
GSE120364,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,30007321.666666668
GSE120366,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,4648831.666666667
GSE120370,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,39652839
GSE120372,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,490508088
GSE120373,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,illumina,illumina hiseq 2000,10090,3574813.9166666665
GSE120378,NA,NA,NA,NA,NA,NA,NA,NA
GSE120387,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,7227,17344797.666666668
GSE120388,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,4097,17476454.125
GSE120390,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,614,23429724.833333332
GSE120395,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,62826421.333333336
GSE120396,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,9606,48264169.60227273
GSE120398,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2000,9606,48264169.60227273
GSE120405,RIP-Seq,TRANSCRIPTOMIC,other,SINGLE,illumina,illumina hiseq 2500,6239,48897015.916666664
GSE120410,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 4000,10090,299560863.5
GSE120411,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,9606,27084605.166666668
GSE120413,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,28271503.277777776
GSE120414,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,48486190.333333336
GSE120415,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,94539776.75
GSE120416,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,69781,39611532.93333333
GSE120418,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 3000,3702,47150611.625
GSE120420,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,27966699.583333332
GSE120421,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,10090,393403978
GSE120423,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,19658461.037037037
GSE120429,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,3504503.0416666665
GSE120430,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,7227,8257846.333333333
GSE120434,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 4000,9031,34842487.666666664
GSE120435,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,4577,15036827.583333334
GSE120437,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 3000,7227,19882054.333333332
GSE120442,NA,NA,NA,NA,NA,NA,NA,NA
GSE120444,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 3000,9606,48581868.625
GSE120446,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 3000,9606,280755985.6060606
GSE120449,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina nextseq 500,10090,31591935.964285713
GSE120455,miRNA-Seq,TRANSCRIPTOMIC,size fractionation,SINGLE,illumina,illumina hiseq 4000,9606,33979423.5
GSE120456,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,bgiseq,bgiseq-500,10090,107726109.58333333
GSE120462,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,171187192
GSE120466,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2000,9606,23918623.333333332
GSE120467,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 4000,7955,33128369
GSE120468,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,9606,29432534.75
GSE120474,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,10090,30269414.25
GSE120495,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,9606,26860724.433333334
GSE120496,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,9606,27927823.5
GSE120499,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq 2500,52443,8688524
GSE120500,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,ion_torrent,ion_torrent ion torrent proton,10090,2933955.3333333335
GSE120502,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,illumina,illumina hiseq 2500,9606,29353710.64
GSE120503,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina hiseq x ten,7955,92332127
GSE120504,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,illumina,illumina nextseq 500,10090,13811914
